Gene	GCA_000154365.1	GCA_000371525.1	GCA_000371645.1	GCA_000371665.1	GCA_000371685.1	GCA_000371705.1	GCA_000371725.1	GCA_000431175.1	GCA_000471785.1	GCA_000508945.1	GCA_001078425.1	GCA_001304835.1	GCA_002234575.2	GCA_002959675.1	GCA_003433765.1	GCA_003433925.1	GCA_003437595.1	GCA_003439835.1	GCA_003458165.1	GCA_003458625.1	GCA_003464745.1	GCA_003467855.1	GCA_013112035.1	GCA_014865525.1	GCA_015547745.1	GCA_015551555.1	GCA_015556085.1	GCA_015557875.1	GCA_015558345.1	GCA_016889665.1	GCA_018368145.1	GCA_018373655.1	GCA_018785445.1	GCA_020554465.1	GCA_020555225.1	GCA_020555685.1	GCA_020559295.1	GCA_020563055.1	GCA_020736955.1	GCA_021639745.1	GCA_021769485.1	GCA_021771435.1	GCA_022137355.1	GCA_022138045.1	GCA_022138265.1	GCA_023008325.1	GCA_023414455.1	GCA_023454015.1	GCA_023461355.1	GCA_024460255.1	GCA_024462735.1	GCA_024622735.1	GCA_902375545.1	GCA_905197355.1
garK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
garD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
garR	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0
gudL	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
