Gene	GCA_000158195.2	GCA_003019315.1	GCA_003438345.1	GCA_003470285.1	GCA_003470805.1	GCA_009696105.1	GCA_021531635.1	GCA_021532115.1	GCA_021626885.1	GCA_022774245.1	GCA_022776485.1	GCA_022786685.1	GCA_902387645.1	GCA_903181465.1	GCA_905212055.1	GCA_934090835.1	GCA_934096415.1	GCA_944391595.1
garK	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	1
garR	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0
gudD	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0
dapA_2	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0
garD	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0
