Gene	GCA_000153625.1	GCA_000479185.1	GCA_000523555.1	GCA_000524235.1	GCA_000524395.1	GCA_001433955.1	GCA_001455125.1	GCA_001457555.1	GCA_001815715.1	GCA_002202115.1	GCA_002204435.1	GCA_002211625.1	GCA_002417615.1	GCA_002591465.1	GCA_002591475.1	GCA_002591505.1	GCA_002591515.1	GCA_002591545.1	GCA_002591555.1	GCA_002591585.1	GCA_002591645.1	GCA_002761915.1	GCA_003226385.1	GCA_003516445.1	GCA_003932835.1	GCA_013137915.1	GCA_018366365.1	GCA_019552045.1	GCA_019552065.1	GCA_019583395.1	GCA_022340045.1	GCA_022340115.1	GCA_024220095.1	GCA_902375245.1	GCA_905202075.1	GCA_905373245.1
garK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
dapA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gudD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
garR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
garD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
